,trades,backtest
1,1.0155978082013366,1.015755361819532
2,1.042477531791727,1.0429108098457254
3,1.0493193895842672,1.0498246496727193
4,1.0824698596162952,1.0833260965290887
5,1.090714024262966,1.0916601225954403
6,1.0740352676402918,1.0748330491425524
7,1.0969657280274625,1.0979545818856535
8,1.0929271585340459,1.093425713061877
9,1.0985563343392732,1.0991143429963948
10,1.0686117748819746,1.0689782738028744
11,1.0607026899478553,1.0610498574195397
12,1.0696468755183899,1.0700873452964061
13,1.071801210101598,1.072105894199142
14,1.0713675583737015,1.0716764139978006
15,1.0552858394452604,1.0548807552261077
16,1.0786866126287726,1.0785088264523741
17,1.07941267230415,1.0792420991879377
18,1.0743952072207068,1.074051368117576
19,1.0466662877869684,1.0468022568971422
20,1.0499736291577397,1.0501347928628129
21,1.0531450323137197,1.0533387220996566
22,1.0224403303080205,1.0226119653372332
23,1.0288443258705098,1.0286901080521398
24,1.0270440687557716,1.026785199990423
25,1.0372024846776335,1.0370436398594152
26,1.069908942018952,1.070075405954214
27,1.0496222526776489,1.049605895762508
28,1.0504021130609058,1.050320443522819
29,1.0493205694900478,1.0487298834743173
30,1.0351280316818703,1.0346481102018623
31,1.0341946860166205,1.0337244340299543
32,1.050333846646481,1.049750144515671
33,1.0996966735059264,1.0995838762842276
34,1.098834359891735,1.0986715405380016
35,1.112330094994856,1.112301576273177
36,1.0810516961881493,1.0807013045165073
37,1.0547072959387682,1.054778402693006
38,1.0804753639833944,1.0808085090449238
39,1.079242113624119,1.0795870925996296
40,1.0815583910142041,1.081202405714835
41,1.1272679637205534,1.127358494409904
42,1.0744840390825592,1.0757222016105557
43,1.040771103288713,1.042402929523271
44,1.0621082707631933,1.0639894164368169
45,1.0915487321428075,1.0936094764413062
46,1.1149328494353115,1.1172743899462805
47,1.1190917998783472,1.1214755519124475
48,1.1116689497790968,1.1141105406810494
49,1.122368864159027,1.124942272917025
50,1.1373730927108192,1.140132809079466
51,1.1793125830272881,1.18158015454409
52,1.1743962731869306,1.1760901435495303
53,1.158652483822176,1.1552971384758008
54,1.1453581163538413,1.1399274487283093
55,1.1688507333087426,1.1635448504391663
56,1.1678747679237822,1.1625829345122884
57,1.1685074106028424,1.1632190719573596
58,1.1839103963824176,1.1787072296965573
59,1.1825818317895755,1.1773976003049094
60,1.185194826263794,1.1800254180467393
61,1.1771138332404796,1.171184750881859
62,1.197918799665243,1.192094016049745
63,1.2191703843388413,1.213455885298152
64,1.2313507681732796,1.2257016346953349
65,1.2338988157628918,1.228263612246874
66,1.2231932159571741,1.2170840670518168
67,1.227344273102483,1.2212561125008117
68,1.195385818194291,1.1899198613822024
69,1.19890064046363,1.1934539528795047
70,1.22343940280274,1.2181279741562447
71,1.189171042408455,1.1840692538625954
72,1.187409325449313,1.1823324629410479
73,1.1969439064282728,1.1919221751872022
74,1.2042355323973164,1.1992565532054962
75,1.2065318245726497,1.20156645020231
76,1.2432648169584064,1.2385177845699744
77,1.236590575200478,1.2316924671743823
78,1.2585396100647137,1.253775391639715
79,1.2698822517974198,1.2651892340757123
80,1.260004511692415,1.255445436441305
81,1.2694486391152917,1.264950442228859
82,1.2792322518170771,1.2747978616202285
83,1.2506925645435496,1.2462413638085936
84,1.2605599700948331,1.2561729674108026
85,1.2712718605763549,1.2669554027081007
86,1.2802199946660515,1.2757476945509003
87,1.2479497077618993,1.2434620369532583
88,1.2154577707211776,1.2106825070388798
89,1.2286755218185297,1.2239813166230846
90,1.2569209847981597,1.2524030843306737
91,1.2601912199153544,1.255570865173235
92,1.2682833536397045,1.2637147690032373
93,1.2247961674884311,1.2213546074582782
94,1.2188854445096748,1.2155188506139396
95,1.2279781926896416,1.2246780766427825
96,1.1517024462901877,1.148410549804719
97,1.2609707177508491,1.2578072488328742
98,1.275602721532535,1.272261557214152
99,1.2785794829798234,1.2752605112213367
100,1.2972144168745097,1.2940888933997887
